time_point,simulation,pair_distance_in_cell_diameter,heterogeneity_std,left_cell_fiber_density,left_cell_fiber_density_z_score,right_cell_fiber_density,right_cell_fiber_density_z_score
0,4D_12_heterogeneity,4.0,0.5,375.10903030750165,-0.9406268116298148,362.0261474346818,-1.8340916247551342
1,4D_12_heterogeneity,4.0,0.5,374.9615015983279,-0.9507019389434116,361.7470275571547,-1.8531534623973864
2,4D_12_heterogeneity,4.0,0.5,374.8963100647312,-0.9551540418895704,361.498248741114,-1.8701432283797066
3,4D_12_heterogeneity,4.0,0.5,374.8898010467281,-0.9555985600137715,360.9321713998627,-1.9088021532384136
4,4D_12_heterogeneity,4.0,0.5,374.9958596893363,-0.9483555336701556,360.4361110720487,-1.94267943031853
5,4D_12_heterogeneity,4.0,0.5,375.3261471747818,-0.9257993242070068,359.70838834747406,-1.9923775476554901
6,4D_12_heterogeneity,4.0,0.5,375.6479086894475,-0.9038253759292186,359.2423773852393,-2.0242026737637757
7,4D_12_heterogeneity,4.0,0.5,375.9307030547293,-0.8845125977605536,359.01253904985685,-2.03989894402529
8,4D_12_heterogeneity,4.0,0.5,376.186012998525,-0.8670768037203616,358.9356051227411,-2.0451529662069214
9,4D_12_heterogeneity,4.0,0.5,376.9931037937294,-0.8119584300773003,358.8776608610372,-2.0491101337103084
10,4D_12_heterogeneity,4.0,0.5,378.1091110422997,-0.7357433315028207,359.38274783719623,-2.0146164028443465
11,4D_12_heterogeneity,4.0,0.5,378.5165866971742,-0.7079157369753218,360.4046484722349,-1.9448280948090952
12,4D_12_heterogeneity,4.0,0.5,379.3614926235849,-0.6502148676036834,361.10210439092464,-1.8971969780198519
13,4D_12_heterogeneity,4.0,0.5,381.42693078804285,-0.5091606105589169,362.0449276213252,-1.832809075938261
14,4D_12_heterogeneity,4.0,0.5,382.0601839939263,-0.4659140675182324,362.7497773044535,-1.7846730193412836
15,4D_12_heterogeneity,4.0,0.5,383.1576858987516,-0.3909627480092407,363.8941333948596,-1.706521903077174
16,4D_12_heterogeneity,4.0,0.5,384.4618746163771,-0.3018962371950034,364.51584968993507,-1.6640632463119578
17,4D_12_heterogeneity,4.0,0.5,385.8144109813942,-0.2095279371526798,365.7882052363049,-1.5771707072961074
18,4D_12_heterogeneity,4.0,0.5,388.3997545518516,-0.03296795931764369,366.69259215627443,-1.5154077229219014
19,4D_12_heterogeneity,4.0,0.5,392.0353102665563,0.2153137946980295,367.51496138680267,-1.459245944358523
20,4D_12_heterogeneity,4.0,0.5,397.17042520172015,0.5660044299749865,369.18946542580267,-1.344889616871181
21,4D_12_heterogeneity,4.0,0.5,401.5095583348393,0.8623353542518142,370.8382582852169,-1.2322891741140727
22,4D_12_heterogeneity,4.0,0.5,407.5264162020565,1.2732425558368203,372.31268333381155,-1.1315967721934892
23,4D_12_heterogeneity,4.0,0.5,412.4368777084466,1.6085910118931472,372.5867540966989,-1.112879751997965
24,4D_12_heterogeneity,4.0,0.5,416.06971372180783,1.8566870302818763,374.5423555651331,-0.979326534597221
25,4D_12_heterogeneity,4.0,0.5,418.0283287657575,1.9904460527571548,374.6862784720341,-0.9694976570960796
26,4D_12_heterogeneity,4.0,0.5,419.6107376237825,2.098512955775938,377.1107697510813,-0.8039227093864851
27,4D_12_heterogeneity,4.0,0.5,422.08137832404435,2.267239570010579,380.85336683928875,-0.5483308157247564
28,4D_12_heterogeneity,4.0,0.5,424.20991759253644,2.4126031690155196,382.75652348870375,-0.4183591942826335
29,4D_12_heterogeneity,4.0,0.5,427.94366194821396,2.66759048606425,385.8565708313147,-0.20664872904566056
30,4D_12_heterogeneity,4.0,0.5,430.0081346565001,2.8085788095432647,387.2797188143198,-0.10945817410100282
31,4D_12_heterogeneity,4.0,0.5,434.3155339993345,3.102742549012114,391.04966040874825,0.14800114850419915
32,4D_12_heterogeneity,4.0,0.5,437.34425210575,3.3095817512937247,394.14847702803456,0.3596275643771341
33,4D_12_heterogeneity,4.0,0.5,441.8141463477887,3.6148426989362425,397.21472789358097,0.5690299784484512
34,4D_12_heterogeneity,4.0,0.5,445.4656386534853,3.8642128050705455,399.65556667128163,0.7357213402520523
35,4D_12_heterogeneity,4.0,0.5,447.1746989494134,3.9809290711080316,402.8129853293533,0.9513498449720024
36,4D_12_heterogeneity,4.0,0.5,451.72095003743254,4.2914046305290015,407.11418632012305,1.2450902825185648
37,4D_12_heterogeneity,4.0,0.5,456.57539073912096,4.622927277068383,409.1301770740749,1.3827676445917227
38,4D_12_heterogeneity,4.0,0.5,460.2910957964334,4.876682642528206,412.7238689165125,1.628190403600301
39,4D_12_heterogeneity,4.0,0.5,462.0317323717098,4.9955553365335446,414.19861556929015,1.728904768724565
40,4D_12_heterogeneity,4.0,0.5,464.84859172750754,5.187926142142208,417.4039654327363,1.9478066227413857
41,4D_12_heterogeneity,4.0,0.5,470.5452773439409,5.576967930500225,423.23752063266244,2.346195598414821
42,4D_12_heterogeneity,4.0,0.5,474.41031277863857,5.840921463980158,427.6202006190037,2.645500452937337
43,4D_12_heterogeneity,4.0,0.5,480.54311907056444,6.259747091390847,434.21350498385584,3.095774716605896
44,4D_12_heterogeneity,4.0,0.5,486.7702255123208,6.685012726448551,440.84506011855785,3.548661226922846
45,4D_12_heterogeneity,4.0,0.5,488.4097384181952,6.796979416535406,440.8173872321835,3.5467713720266834
46,4D_12_heterogeneity,4.0,0.5,492.47627359220184,7.074693902297536,446.504457838489,3.9351565258103034
47,4D_12_heterogeneity,4.0,0.5,497.6116192634394,7.42540029515369,451.3773241528382,4.2679375063677085
48,4D_12_heterogeneity,4.0,0.5,501.2676602005564,7.675081039406632,454.8571712318407,4.505585504165272
49,4D_12_heterogeneity,4.0,0.5,505.05408534054675,7.933666067110492,458.2454351461866,4.736979044448325
50,4D_12_heterogeneity,4.0,0.5,507.8700424927849,8.125975258842256,461.47966609401493,4.957853264411645
0,4D_5_heterogeneity,4.0,0.5,380.7043834520917,-0.3425693258091877,360.64374796011765,-1.4689174098432627
1,4D_5_heterogeneity,4.0,0.5,380.962701186285,-0.3280655138488396,360.69358159821275,-1.4661193916642616
2,4D_5_heterogeneity,4.0,0.5,381.0895248233351,-0.3209447244471891,360.7597095385357,-1.4624064943877195
3,4D_5_heterogeneity,4.0,0.5,381.79928914383703,-0.28109346037168603,361.0514823647149,-1.446024273402165
4,4D_5_heterogeneity,4.0,0.5,383.2141518900056,-0.20165290905137728,361.1224423633445,-1.4420400696848172
5,4D_5_heterogeneity,4.0,0.5,385.1920848769373,-0.09059755235195234,361.47740932407777,-1.4221096763392373
6,4D_5_heterogeneity,4.0,0.5,386.5520940657058,-0.014236873516480874,362.15122641665107,-1.3842767476908406
7,4D_5_heterogeneity,4.0,0.5,388.2682011187757,0.08211769570920671,362.99823889368065,-1.3367193868566378
8,4D_5_heterogeneity,4.0,0.5,389.6465850794031,0.1595100661421926,363.19139102564634,-1.3258744396039104
9,4D_5_heterogeneity,4.0,0.5,390.31853162216555,0.1972379686962567,363.50500296181923,-1.3082660142088187
10,4D_5_heterogeneity,4.0,0.5,391.0594312878162,0.23883739455696693,366.00463418861676,-1.1679187732541856
11,4D_5_heterogeneity,4.0,0.5,391.4534054558999,0.26095793254079613,367.08185679141286,-1.1074357633703253
12,4D_5_heterogeneity,4.0,0.5,393.42986028573307,0.3719302948895943,368.17778067977514,-1.0459027290655105
13,4D_5_heterogeneity,4.0,0.5,394.65699383657324,0.44083038154914905,369.90686471191714,-0.9488195390780229
14,4D_5_heterogeneity,4.0,0.5,396.2579885596008,0.530721718219526,370.88863619382266,-0.893695840327502
15,4D_5_heterogeneity,4.0,0.5,397.85816905353494,0.6205673382235644,372.83510449701043,-0.7844071368462116
